period,value,unit,unit_multiplier,status
1972,23.0184853204808,percent,0,final
1973,21.0715830724992,percent,0,final
1974,23.7460735062314,percent,0,final
1975,24.2656075553197,percent,0,final
1976,23.8006952491309,percent,0,final
1977,23.3257744536389,percent,0,final
1978,22.1542220674458,percent,0,final
1979,21.9037787093631,percent,0,final
1980,23.876065932529,percent,0,final
1981,24.639426203616,percent,0,final
1982,25.8661393285258,percent,0,final
1983,24.6485304999056,percent,0,final
1984,24.7776311010935,percent,0,final
1985,25.1335734201353,percent,0,final
1986,24.5006836277848,percent,0,final
1987,23.1587950829559,percent,0,final
1988,22.990749915473,percent,0,final
1989,22.7622715847149,percent,0,final
1990,24.1512945995683,percent,0,final
1991,24.847137041141,percent,0,final
1992,24.2803159914902,percent,0,final
1993,22.9810917661155,percent,0,final
1994,23.7970949924584,percent,0,final
1995,23.1479867730469,percent,0,final
1996,22.9737228945862,percent,0,final
1997,23.6099939595572,percent,0,final
1998,24.9177306831644,percent,0,final
1999,25.3969755246592,percent,0,final
2000,25.9945381752943,percent,0,final
2001,25.64382699632,percent,0,final
2002,24.8945712788558,percent,0,final
2003,24.4743374663961,percent,0,final
2004,25.0669294868752,percent,0,final
2005,25.4063961563486,percent,0,final
2006,25.6651872699719,percent,0,final
2007,25.8759100332597,percent,0,final
2008,26.3157861887622,percent,0,final
2009,24.0083878145831,percent,0,final
2010,25.167235102012,percent,0,final
2011,25.7274940192641,percent,0,final
2012,24.9984898716856,percent,0,final
2013,25.0275561855532,percent,0,final
2014,24.7140100668456,percent,0,final
2015,24.9162351349781,percent,0,final
2016,25.2889754608419,percent,0,final
2017,25.4175285210626,percent,0,final
2018,25.326551109134,percent,0,final
2019,24.9143682469426,percent,0,final
2020,24.5433751270756,percent,0,final
2021,25.9910653856023,percent,0,final
2022,26.5536048949437,percent,0,final
2023,26.8736892132882,percent,0,final
2024,26.8890215407942,percent,0,final
