period,ref_area,value,unit,unit_multiplier,status
1972,direct,39.3969282795547,percent,0,final
1973,direct,41.122060857538,percent,0,final
1974,direct,42.910549211528,percent,0,final
1975,direct,44.4196428571429,percent,0,final
1976,direct,43.4526506570005,percent,0,final
1977,direct,41.9945360639719,percent,0,final
1978,direct,40.9174378647661,percent,0,final
1979,direct,39.0619656126605,percent,0,final
1980,direct,37.5229155972721,percent,0,final
1981,direct,38.9326116373478,percent,0,final
1982,direct,38.0979864647236,percent,0,final
1983,direct,38.5930401799497,percent,0,final
1984,direct,38.573300478808,percent,0,final
1985,direct,39.2904543895492,percent,0,final
1986,direct,38.489267690287,percent,0,final
1987,direct,39.0387104522224,percent,0,final
1988,direct,38.4231584747895,percent,0,final
1989,direct,40.4243963998021,percent,0,final
1990,direct,39.0502713298868,percent,0,final
1991,direct,37.5813344803287,percent,0,final
1992,direct,36.3521509529999,percent,0,final
1993,direct,35.352004673921,percent,0,final
1994,direct,35.8342113026255,percent,0,final
1995,direct,36.6068746678579,percent,0,final
1996,direct,36.1161920485249,percent,0,final
1997,direct,36.6272744580738,percent,0,final
1998,direct,38.6508167161978,percent,0,final
1999,direct,38.304741968103,percent,0,final
2000,direct,39.5114717203316,percent,0,final
2001,direct,39.0345989581389,percent,0,final
2002,direct,38.1367534066307,percent,0,final
2003,direct,37.4681507308569,percent,0,final
2004,direct,37.7496152633823,percent,0,final
2005,direct,38.7735063080219,percent,0,final
2006,direct,39.6420726218272,percent,0,final
2007,direct,39.6347506378541,percent,0,final
2008,direct,37.7347045837067,percent,0,final
2009,direct,38.4552799797503,percent,0,final
2010,direct,32.4127918778429,percent,0,final
2011,direct,36.6403106032471,percent,0,final
2012,direct,34.38163964882,percent,0,final
2013,direct,33.817254475314,percent,0,final
2014,direct,34.0776817836951,percent,0,final
2015,direct,34.0953924082493,percent,0,final
2016,direct,34.6377421695164,percent,0,final
2017,direct,34.5670180191621,percent,0,final
2018,direct,34.4743450072652,percent,0,final
2019,direct,33.948328660542,percent,0,final
2020,direct,35.5258062653751,percent,0,final
2021,direct,37.2317651351651,percent,0,final
2022,direct,36.6920840644484,percent,0,final
2023,direct,39.1647493177805,percent,0,final
2024,direct,40.5803756048265,percent,0,final
1972,indirect,28.1386501338594,percent,0,final
1973,indirect,27.3253803596127,percent,0,final
1974,indirect,25.6627243066884,percent,0,final
1975,indirect,24.5376275510204,percent,0,final
1976,indirect,24.848210240145,percent,0,final
1977,indirect,25.2058946696712,percent,0,final
1978,indirect,25.6413519754186,percent,0,final
1979,indirect,26.2071324192395,percent,0,final
1980,indirect,28.4654493901396,percent,0,final
1981,indirect,27.8625169147497,percent,0,final
1982,indirect,28.5786097949229,percent,0,final
1983,indirect,29.5311604110616,percent,0,final
1984,indirect,30.5143271552541,percent,0,final
1985,indirect,31.0310631254008,percent,0,final
1986,indirect,32.0455989321227,percent,0,final
1987,indirect,30.4352757502569,percent,0,final
1988,indirect,31.193023227955,percent,0,final
1989,indirect,30.3893172632714,percent,0,final
1990,indirect,28.3536028362491,percent,0,final
1991,indirect,29.2776674506502,percent,0,final
1992,indirect,31.1508711973169,percent,0,final
1993,indirect,32.2158219528226,percent,0,final
1994,indirect,33.0106620590838,percent,0,final
1995,indirect,34.2836127819838,percent,0,final
1996,indirect,34.7903401177484,percent,0,final
1997,indirect,34.7818696113363,percent,0,final
1998,indirect,34.1883306614667,percent,0,final
1999,indirect,35.0538416505526,percent,0,final
2000,indirect,34.1895509534776,percent,0,final
2001,indirect,33.6405419383734,percent,0,final
2002,indirect,35.0052532156047,percent,0,final
2003,indirect,35.3025269406231,percent,0,final
2004,indirect,34.1887156286504,percent,0,final
2005,indirect,32.0155490189411,percent,0,final
2006,indirect,32.3272595003973,percent,0,final
2007,indirect,32.2252914193045,percent,0,final
2008,indirect,30.0859035170168,percent,0,final
2009,indirect,30.8747132301833,percent,0,final
2010,indirect,28.5238479563882,percent,0,final
2011,indirect,34.7365380440536,percent,0,final
2012,indirect,34.4338036760909,percent,0,final
2013,indirect,34.6390387452984,percent,0,final
2014,indirect,35.7256255251801,percent,0,final
2015,indirect,35.5179411348299,percent,0,final
2016,indirect,35.2084396953493,percent,0,final
2017,indirect,34.7105222311589,percent,0,final
2018,indirect,34.6845769321722,percent,0,final
2019,indirect,34.936214065835,percent,0,final
2020,indirect,33.1697075435432,percent,0,final
2021,indirect,32.6551935849043,percent,0,final
2022,indirect,31.9620263428462,percent,0,final
2023,indirect,31.5873796597752,percent,0,final
2024,indirect,31.0918761101089,percent,0,final
