period,value,unit,unit_multiplier,status
1970,43.004308460818,percent,0,final
1971,42.6502218205718,percent,0,final
1972,41.5839774296882,percent,0,final
1973,47.4470277629336,percent,0,final
1974,58.7410657382942,percent,0,final
1975,52.7585454911507,percent,0,final
1976,57.4208829663963,percent,0,final
1977,58.9312652503713,percent,0,final
1978,54.9850773279745,percent,0,final
1979,54.6607627850434,percent,0,final
1980,51.3102802584976,percent,0,final
1981,49.3910296003122,percent,0,final
1982,49.6135434545171,percent,0,final
1983,50.8133148194588,percent,0,final
1984,55.4082940861114,percent,0,final
1985,54.950881440311,percent,0,final
1986,50.5278201169357,percent,0,final
1987,49.8948735100282,percent,0,final
1988,47.3603219647,percent,0,final
1989,48.6770133730618,percent,0,final
1990,48.2498264500798,percent,0,final
1991,45.3156600809302,percent,0,final
1992,46.3059467099097,percent,0,final
1993,49.7481967801462,percent,0,final
1994,51.886107010773,percent,0,final
1995,50.8300766971451,percent,0,final
1996,52.0576088895797,percent,0,final
1997,50.7045618383811,percent,0,final
1998,49.1409088914683,percent,0,final
1999,49.4683905163429,percent,0,final
2000,52.3380212335903,percent,0,final
2001,52.6342367336438,percent,0,final
2002,51.2361820991323,percent,0,final
2003,50.0681187039704,percent,0,final
2004,50.2885521756133,percent,0,final
2005,52.5442740383211,percent,0,final
2006,56.7047791729812,percent,0,final
2007,52.7493524964733,percent,0,final
2008,56.4365501052604,percent,0,final
2009,54.6537301085991,percent,0,final
2010,59.0511802227821,percent,0,final
2011,63.3240615708901,percent,0,final
2012,61.9688704472535,percent,0,final
2013,61.7195395154583,percent,0,final
2014,58.8210228333296,percent,0,final
2015,57.125044605439,percent,0,final
2016,59.8395315138259,percent,0,final
2017,63.1899245764158,percent,0,final
2018,64.9097721959201,percent,0,final
2019,65.0035664177054,percent,0,final
2020,59.1598893030611,percent,0,final
2021,58.53838629291,percent,0,final
2022,69.1989264413981,percent,0,final
2023,64.9923841747803,percent,0,final
2024,62.839052044584,percent,0,final
2025,62.4573294634195,percent,0,final
