period,value,unit,unit_multiplier,status
1971-02,3.8,percent,0,final
1971-03,3.9,percent,0,final
1971-04,4,percent,0,final
1971-05,4.1,percent,0,final
1971-06,4.1,percent,0,final
1971-07,4.2,percent,0,final
1971-08,4.2,percent,0,final
1971-09,4.3,percent,0,final
1971-10,4.4,percent,0,final
1971-11,4.4,percent,0,final
1971-12,4.5,percent,0,final
1972-01,4.5,percent,0,final
1972-02,4.5,percent,0,final
1972-03,4.5,percent,0,final
1972-04,4.5,percent,0,final
1972-05,4.4,percent,0,final
1972-06,4.4,percent,0,final
1972-07,4.3,percent,0,final
1972-08,4.3,percent,0,final
1972-09,4.2,percent,0,final
1972-10,4.2,percent,0,final
1972-11,4.2,percent,0,final
1972-12,4.1,percent,0,final
1973-01,4,percent,0,final
1973-02,3.9,percent,0,final
1973-03,3.8,percent,0,final
1973-04,3.8,percent,0,final
1973-05,3.7,percent,0,final
1973-06,3.7,percent,0,final
1973-07,3.6,percent,0,final
1973-08,3.6,percent,0,final
1973-09,3.5,percent,0,final
1973-10,3.5,percent,0,final
1973-11,3.4,percent,0,final
1973-12,3.4,percent,0,final
1974-01,3.5,percent,0,final
1974-02,3.6,percent,0,final
1974-03,3.6,percent,0,final
1974-04,3.6,percent,0,final
1974-05,3.6,percent,0,final
1974-06,3.6,percent,0,final
1974-07,3.7,percent,0,final
1974-08,3.7,percent,0,final
1974-09,3.7,percent,0,final
1974-10,3.7,percent,0,final
1974-11,3.7,percent,0,final
1974-12,3.8,percent,0,final
1975-01,3.9,percent,0,final
1975-02,4,percent,0,final
1975-03,4.1,percent,0,final
1975-04,4.2,percent,0,final
1975-05,4.3,percent,0,final
1975-06,4.5,percent,0,final
1975-07,4.6,percent,0,final
1975-08,4.7,percent,0,final
1975-09,4.8,percent,0,final
1975-10,4.9,percent,0,final
1975-11,5,percent,0,final
1975-12,5.1,percent,0,final
1976-01,5.2,percent,0,final
1976-02,5.3,percent,0,final
1976-03,5.3,percent,0,final
1976-04,5.4,percent,0,final
1976-05,5.4,percent,0,final
1976-06,5.4,percent,0,final
1976-07,5.4,percent,0,final
1976-08,5.5,percent,0,final
1976-09,5.5,percent,0,final
1976-10,5.5,percent,0,final
1976-11,5.5,percent,0,final
1976-12,5.5,percent,0,final
1977-01,5.5,percent,0,final
1977-02,5.5,percent,0,final
1977-03,5.5,percent,0,final
1977-04,5.5,percent,0,final
1977-05,5.5,percent,0,final
1977-06,5.6,percent,0,final
1977-07,5.6,percent,0,final
1977-08,5.7,percent,0,final
1977-09,5.7,percent,0,final
1977-10,5.7,percent,0,final
1977-11,5.7,percent,0,final
1977-12,5.7,percent,0,final
1978-01,5.6,percent,0,final
1978-02,5.6,percent,0,final
1978-03,5.6,percent,0,final
1978-04,5.6,percent,0,final
1978-05,5.6,percent,0,final
1978-06,5.5,percent,0,final
1978-07,5.5,percent,0,final
1978-08,5.5,percent,0,final
1978-09,5.5,percent,0,final
1978-10,5.4,percent,0,final
1978-11,5.4,percent,0,final
1978-12,5.3,percent,0,final
1979-01,5.3,percent,0,final
1979-02,5.4,percent,0,final
1979-03,5.3,percent,0,final
1979-04,5.3,percent,0,final
1979-05,5.3,percent,0,final
1979-06,5.3,percent,0,final
1979-07,5.3,percent,0,final
1979-08,5.4,percent,0,final
1979-09,5.4,percent,0,final
1979-10,5.4,percent,0,final
1979-11,5.5,percent,0,final
1979-12,5.6,percent,0,final
1980-01,5.7,percent,0,final
1980-02,5.8,percent,0,final
1980-03,6,percent,0,final
1980-04,6.1,percent,0,final
1980-05,6.3,percent,0,final
1980-06,6.5,percent,0,final
1980-07,6.8,percent,0,final
1980-08,7.1,percent,0,final
1980-09,7.4,percent,0,final
1980-10,7.7,percent,0,final
1980-11,8,percent,0,final
1980-12,8.3,percent,0,final
1981-01,8.6,percent,0,final
1981-02,8.9,percent,0,final
1981-03,9.1,percent,0,final
1981-04,9.4,percent,0,final
1981-05,9.6,percent,0,final
1981-06,9.7,percent,0,final
1981-07,9.8,percent,0,final
1981-08,9.9,percent,0,final
1981-09,10,percent,0,final
1981-10,10.1,percent,0,final
1981-11,10.2,percent,0,final
1981-12,10.3,percent,0,final
1982-01,10.4,percent,0,final
1982-02,10.4,percent,0,final
1982-03,10.5,percent,0,final
1982-04,10.5,percent,0,final
1982-05,10.6,percent,0,final
1982-06,10.6,percent,0,final
1982-07,10.7,percent,0,final
1982-08,10.8,percent,0,final
1982-09,10.9,percent,0,final
1982-10,11,percent,0,final
1982-11,11.1,percent,0,final
1982-12,11.2,percent,0,final
1983-01,11.2,percent,0,final
1983-02,11.3,percent,0,final
1983-03,11.3,percent,0,final
1983-04,11.3,percent,0,final
1983-05,11.4,percent,0,final
1983-06,11.5,percent,0,final
1983-07,11.5,percent,0,final
1983-08,11.5,percent,0,final
1983-09,11.6,percent,0,final
1983-10,11.6,percent,0,final
1983-11,11.7,percent,0,final
1983-12,11.7,percent,0,final
1984-01,11.8,percent,0,final
1984-02,11.8,percent,0,final
1984-03,11.9,percent,0,final
1984-04,11.9,percent,0,final
1984-05,11.9,percent,0,final
1984-06,11.8,percent,0,final
1984-07,11.8,percent,0,final
1984-08,11.7,percent,0,final
1984-09,11.7,percent,0,final
1984-10,11.7,percent,0,final
1984-11,11.6,percent,0,final
1984-12,11.6,percent,0,final
1985-01,11.5,percent,0,final
1985-02,11.5,percent,0,final
1985-03,11.4,percent,0,final
1985-04,11.4,percent,0,final
1985-05,11.4,percent,0,final
1985-06,11.3,percent,0,final
1985-07,11.3,percent,0,final
1985-08,11.3,percent,0,final
1985-09,11.3,percent,0,final
1985-10,11.3,percent,0,final
1985-11,11.3,percent,0,final
1985-12,11.3,percent,0,final
1986-01,11.3,percent,0,final
1986-02,11.3,percent,0,final
1986-03,11.3,percent,0,final
1986-04,11.3,percent,0,final
1986-05,11.3,percent,0,final
1986-06,11.4,percent,0,final
1986-07,11.4,percent,0,final
1986-08,11.4,percent,0,final
1986-09,11.3,percent,0,final
1986-10,11.3,percent,0,final
1986-11,11.3,percent,0,final
1986-12,11.2,percent,0,final
1987-01,11.2,percent,0,final
1987-02,11.1,percent,0,final
1987-03,11,percent,0,final
1987-04,10.9,percent,0,final
1987-05,10.7,percent,0,final
1987-06,10.6,percent,0,final
1987-07,10.4,percent,0,final
1987-08,10.2,percent,0,final
1987-09,10,percent,0,final
1987-10,9.9,percent,0,final
1987-11,9.7,percent,0,final
1987-12,9.5,percent,0,final
1988-01,9.4,percent,0,final
1988-02,9.2,percent,0,final
1988-03,9,percent,0,final
1988-04,8.9,percent,0,final
1988-05,8.7,percent,0,final
1988-06,8.6,percent,0,final
1988-07,8.5,percent,0,final
1988-08,8.4,percent,0,final
1988-09,8.3,percent,0,final
1988-10,8.2,percent,0,final
1988-11,8,percent,0,final
1988-12,7.9,percent,0,final
1989-01,7.7,percent,0,final
1989-02,7.6,percent,0,final
1989-03,7.4,percent,0,final
1989-04,7.3,percent,0,final
1989-05,7.2,percent,0,final
1989-06,7.2,percent,0,final
1989-07,7.1,percent,0,final
1989-08,7.1,percent,0,final
1989-09,7.1,percent,0,final
1989-10,7,percent,0,final
1989-11,7,percent,0,final
1989-12,7,percent,0,final
1990-01,6.9,percent,0,final
1990-02,6.9,percent,0,final
1990-03,6.9,percent,0,final
1990-04,6.9,percent,0,final
1990-05,6.9,percent,0,final
1990-06,6.9,percent,0,final
1990-07,7,percent,0,final
1990-08,7.1,percent,0,final
1990-09,7.2,percent,0,final
1990-10,7.3,percent,0,final
1990-11,7.5,percent,0,final
1990-12,7.6,percent,0,final
1991-01,7.8,percent,0,final
1991-02,8,percent,0,final
1991-03,8.2,percent,0,final
1991-04,8.5,percent,0,final
1991-05,8.7,percent,0,final
1991-06,8.8,percent,0,final
1991-07,9,percent,0,final
1991-08,9.2,percent,0,final
1991-09,9.3,percent,0,final
1991-10,9.4,percent,0,final
1991-11,9.5,percent,0,final
1991-12,9.5,percent,0,final
1992-01,9.6,percent,0,final
1992-02,9.7,percent,0,final
1992-03,9.8,percent,0,final
1992-04,9.8,percent,0,final
1992-05,9.8,percent,0,final
1992-06,9.9,percent,0,final
1992-07,9.9,percent,0,final
1992-08,9.9,percent,0,final
1992-09,10.1,percent,0,final
1992-10,10.2,percent,0,final
1992-11,10.4,percent,0,final
1992-12,10.5,percent,0,final
1993-01,10.7,percent,0,final
1993-02,10.6,percent,0,final
1993-03,10.6,percent,0,final
1993-04,10.5,percent,0,final
1993-05,10.4,percent,0,final
1993-06,10.4,percent,0,final
1993-07,10.3,percent,0,final
1993-08,10.2,percent,0,final
1993-09,10.3,percent,0,final
1993-10,10.2,percent,0,final
1993-11,10.3,percent,0,final
1993-12,10.3,percent,0,final
