period,value,unit,unit_multiplier,status
1951,0,number,0,final
1952,0,number,0,final
1953,0,number,0,final
1954,0,number,0,final
1955,0,number,0,final
1956,0,number,0,final
1957,0,number,0,final
1958,0,number,0,final
1959,0,number,0,final
1960,0,number,0,final
1961,0,number,0,final
1962,0,number,0,final
1963,0,number,0,final
1964,0,number,0,final
1965,0,number,0,final
1966,0,number,0,final
1967,0,number,0,final
1968,0,number,0,final
1969,0,number,0,final
1970,0,number,0,final
1971,0,number,0,final
1972,0,number,0,final
1973,0,number,0,final
1974,0,number,0,final
1975,0,number,0,final
1976,0,number,0,final
1977,0,number,0,final
1978,0,number,0,final
1979,0,number,0,final
1980,0,number,0,final
1981,0,number,0,final
1982,0,number,0,final
1983,0,number,0,final
1984,0,number,0,final
1985,0,number,0,final
1986,0,number,0,final
1987,0,number,0,final
1988,0,number,0,final
1989,0,number,0,final
1990,0,number,0,final
1991,0,number,0,final
1992,0,number,0,final
1993,0,number,0,final
1994,0,number,0,final
1995,0,number,0,final
1996,0,number,0,final
1997,0,number,0,final
1998,0,number,0,final
1999,0,number,0,final
2000,88600,number,0,final
2001,38800,number,0,final
2002,41300,number,0,final
2003,23900,number,0,final
2004,9700,number,0,final
2005,12500,number,0,final
2006,12400,number,0,final
2007,10800,number,0,final
2008,13600,number,0,final
2009,12406,number,0,final
2010,14880,number,0,final
2011,16861,number,0,final
2012,18896,number,0,final
2013,25100,number,0,final
2014,36354,number,0,final
2015,45853,number,0,final
2016,43496,number,0,final
2017,40354,number,0,final
2018,45234,number,0,final
2019,61947,number,0,final
2020,77245,number,0,final
2021,104897,number,0,final
2022,167289,number,0,final
2023,138156,number,0,final
2024,124783,number,0,final
2025,144747,number,0,final
