period,ref_area,value,unit,unit_multiplier,status
1990,GBR,1.27246170811834,number,0,final
1991,GBR,1.38997016985018,number,0,final
1992,GBR,1.38428635572783,number,0,final
1993,GBR,1.34978569430064,number,0,final
1994,GBR,1.42233524586565,number,0,final
1995,GBR,1.39111870783059,number,0,final
1996,GBR,1.281335140925,number,0,final
1997,GBR,1.25412576150713,number,0,final
1998,GBR,1.38332593669012,number,0,final
1999,GBR,1.40043985028414,number,0,final
2000,GBR,1.54256868130426,number,0,final
2001,GBR,1.62595894048872,number,0,final
2002,GBR,1.85923045695602,number,0,final
2005,GBR,1.37797628851015,number,0,final
2006,GBR,1.4119320989405,number,0,final
2007,GBR,1.42031017055268,number,0,final
2008,GBR,1.22526681051353,number,0,final
2009,GBR,1.12468797208048,number,0,final
2010,GBR,1.19987652699167,number,0,final
2011,GBR,1.00772665754522,number,0,final
2012,GBR,0.980292769516879,number,0,final
2013,GBR,0.9349366699991,number,0,final
2014,GBR,0.900318736728248,number,0,final
2015,GBR,0.948271629655268,number,0,final
2016,GBR,1.17310761427578,number,0,final
2017,GBR,1.17550481262973,number,0,final
2018,GBR,1.09059626628076,number,0,final
2019,GBR,1.15033375026475,number,0,final
2020,GBR,0.94577935310667,number,0,final
2021,GBR,1.11868407522333,number,0,final
1990,DEU,1.16801384915652,number,0,final
1991,DEU,1.40343106642978,number,0,final
1992,DEU,1.43077958781143,number,0,final
1993,DEU,1.65425621686023,number,0,final
1994,DEU,2.38340932371506,number,0,final
1995,DEU,2.47744783321797,number,0,final
1996,DEU,2.33761906350592,number,0,final
1997,DEU,2.1847407558703,number,0,final
1998,DEU,1.95337413007635,number,0,final
1999,DEU,1.62344247009,number,0,final
2000,DEU,1.66753754956225,number,0,final
2001,DEU,1.44140608883251,number,0,final
2002,DEU,1.42807834640079,number,0,final
2003,DEU,1.33598638063576,number,0,final
2004,DEU,1.3545661001062,number,0,final
2005,DEU,1.27244558514126,number,0,final
2006,DEU,1.20927315205162,number,0,final
2007,DEU,1.09227050411144,number,0,final
2008,DEU,1.02452477446076,number,0,final
2009,DEU,0.992150728625981,number,0,final
2010,DEU,0.981060169496516,number,0,final
2011,DEU,0.91271260058552,number,0,final
2012,DEU,0.814420905242925,number,0,final
2013,DEU,0.841543300830081,number,0,final
2014,DEU,0.87986543465844,number,0,final
2015,DEU,0.83092148321361,number,0,final
2016,DEU,1.163604165425,number,0,final
2017,DEU,0.97829217789703,number,0,final
2018,DEU,0.945201062768242,number,0,final
2019,DEU,0.745579302641966,number,0,final
2020,DEU,0.935085587265765,number,0,final
2021,DEU,0.830375419597212,number,0,final
2022,DEU,0.815829208272123,number,0,final
2023,DEU,0.910722780231795,number,0,final
1990,FRA,2.37760015691108,number,0,final
1991,FRA,2.36592102904818,number,0,final
1992,FRA,2.33168800485519,number,0,final
1993,FRA,2.62797009819845,number,0,final
1994,FRA,2.42414351074412,number,0,final
1995,FRA,2.29584021763191,number,0,final
1996,FRA,2.00580187184137,number,0,final
1997,FRA,1.64422406112757,number,0,final
1998,FRA,1.63494276577466,number,0,final
1999,FRA,1.61295208990693,number,0,final
2000,FRA,1.76687009797043,number,0,final
2001,FRA,1.74776357833476,number,0,final
2002,FRA,1.85488321960253,number,0,final
2003,FRA,1.62492873135846,number,0,final
2004,FRA,1.61830161158403,number,0,final
2005,FRA,1.58377199706769,number,0,final
2006,FRA,1.41660322639846,number,0,final
2007,FRA,1.59051931320511,number,0,final
2008,FRA,1.62630919084507,number,0,final
2009,FRA,1.29780685062321,number,0,final
2010,FRA,1.25517676645729,number,0,final
2011,FRA,1.34308688468283,number,0,final
2012,FRA,1.22388195514924,number,0,final
2013,FRA,1.20675158408277,number,0,final
2014,FRA,1.2242533397519,number,0,final
2015,FRA,1.55892963521539,number,0,final
2016,FRA,1.19686224509648,number,0,final
2017,FRA,1.08754298245582,number,0,final
2018,FRA,1.06227847973755,number,0,final
2019,FRA,1.14560504750237,number,0,final
2020,FRA,1.04999178555921,number,0,final
2021,FRA,1.11071518973766,number,0,final
2022,FRA,1.23873280289769,number,0,final
2023,FRA,1.33506280409367,number,0,final
