period,value,unit,unit_multiplier,status
2012,162000,number,0,provisional
2012,157000,number,0,provisional
2012,195000,number,0,provisional
2013,204000,number,0,provisional
2013,215000,number,0,provisional
2013,259000,number,0,provisional
2013,244000,number,0,provisional
2014,256000,number,0,provisional
2014,248000,number,0,provisional
2014,264000,number,0,provisional
2014,284000,number,0,provisional
2015,296000,number,0,provisional
2015,296000,number,0,provisional
2015,293000,number,0,provisional
2015,303000,number,0,provisional
2016,298000,number,0,provisional
2016,321000,number,0,provisional
2016,290000,number,0,provisional
2016,249000,number,0,provisional
2017,240000,number,0,provisional
2017,200000,number,0,provisional
2017,205000,number,0,provisional
2017,208000,number,0,provisional
2018,193000,number,0,provisional
2018,216000,number,0,provisional
2018,226000,number,0,provisional
2018,276000,number,0,provisional
2019,274000,number,0,provisional
2019,224000,number,0,provisional
2019,202000,number,0,provisional
2019,184000,number,0,provisional
2020,170000,number,0,provisional
2020,111000,number,0,provisional
2020,35000,number,0,provisional
2020,93000,number,0,provisional
2021,132000,number,0,provisional
2021,251000,number,0,provisional
2021,384000,number,0,provisional
2021,467000,number,0,provisional
2022,575000,number,0,provisional
2022,681000,number,0,provisional
2022,822000,number,0,provisional
2022,891000,number,0,provisional
2023,944000,number,0,provisional
2023,924000,number,0,provisional
2023,891000,number,0,provisional
2023,848000,number,0,provisional
2024,734000,number,0,provisional
2024,649000,number,0,provisional
2024,497000,number,0,provisional
2024,331000,number,0,provisional
2025,260000,number,0,provisional
2025,219000,number,0,provisional
2025,202000,number,0,provisional
2025,171000,number,0,provisional
