period,value,unit,unit_multiplier,status
2002,310881,number,0,final
2003,303235,number,0,final
2004,281127,number,0,final
2005,295999,number,0,final
2006,294282,number,0,final
2007,290653,number,0,final
2008,320739,number,0,final
2009,307823,number,0,final
2010,305896,number,0,final
2011,308326,number,0,final
2012,300623,number,0,final
2013,321065,number,0,final
2014,326053,number,0,final
2015,337260,number,0,final
2016,370301,number,0,final
2017,382662,number,0,final
2018,374816,number,0,final
2019,359264,number,0,final
2020,228115,number,0,final
2021,274940,number,0,final
2022,342399,number,0,final
2023,444006,number,0,final
2024,530416,number,0,final
2024,516611,number,0,final
2025,509566,number,0,final
