period,value,unit,unit_multiplier,status
2021-12,66.3,percent,0,final
2022-03,75.6,percent,0,final
2022-06,54,percent,0,final
2022-09,66.1,percent,0,final
2022-12,84.4,percent,0,final
2023-03,96.4,percent,0,final
2023-06,96.1,percent,0,final
2023-09,95.6,percent,0,final
2023-12,96.8,percent,0,final
2024-03,96.8,percent,0,final
2024-06,98.1,percent,0,final
2024-09,98,percent,0,final
2024-12,97.2,percent,0,final
2025-03,98,percent,0,final
2025-06,98.6,percent,0,final
2025-09,97.8,percent,0,final
2025-12,97.5,percent,0,final
