period,value,unit,unit_multiplier,status
1960,71.1268292682927,years,0,final
1961,70.8780487804878,years,0,final
1962,70.9268292682927,years,0,final
1963,70.8268292682927,years,0,final
1964,71.6243902439024,years,0,final
1965,71.6243902439024,years,0,final
1966,71.5731707317073,years,0,final
1967,72.1243902439024,years,0,final
1968,71.7243902439025,years,0,final
1969,71.7219512195122,years,0,final
1970,71.9731707317073,years,0,final
1971,72.2731707317073,years,0,final
1972,72.1243902439024,years,0,final
1973,72.3243902439024,years,0,final
1974,72.5243902439024,years,0,final
1975,72.7243902439024,years,0,final
1976,72.7756097560976,years,0,final
1977,73.2243902439024,years,0,final
1978,73.1756097560976,years,0,final
1979,73.2756097560976,years,0,final
1980,73.6756097560976,years,0,final
1981,74.0268292682927,years,0,final
1982,74.1780487804878,years,0,final
1983,74.3780487804878,years,0,final
1984,74.7780487804878,years,0,final
1985,74.6292682926829,years,0,final
1986,74.9292682926829,years,0,final
1987,75.280487804878,years,0,final
1988,75.3804878048781,years,0,final
1989,75.5829268292683,years,0,final
1990,75.8804878048781,years,0,final
1991,76.0829268292683,years,0,final
1992,76.4341463414634,years,0,final
1993,76.3853658536585,years,0,final
1994,76.8853658536585,years,0,final
1995,76.8365853658537,years,0,final
1996,77.0878048780488,years,0,final
1997,77.2109756097561,years,0,final
1998,77.190243902439,years,0,final
1999,77.390243902439,years,0,final
2000,77.7414634146342,years,0,final
2001,77.9926829268293,years,0,final
2002,78.1439024390244,years,0,final
2003,78.4463414634146,years,0,final
2004,78.7463414634146,years,0,final
2005,79.0487804878049,years,0,final
2006,79.2487804878049,years,0,final
2007,79.4487804878049,years,0,final
2008,79.6,years,0,final
2009,80.0512195121951,years,0,final
2010,80.4024390243902,years,0,final
2011,80.9512195121951,years,0,final
2012,80.9048780487805,years,0,final
2013,81.0048780487805,years,0,final
2014,81.3048780487805,years,0,final
2015,80.9560975609756,years,0,final
2016,81.1560975609756,years,0,final
2017,81.2560975609756,years,0,final
2018,81.2560975609756,years,0,final
2019,81.3691219512195,years,0,final
2020,80.331756097561,years,0,final
2021,80.6473170731707,years,0,final
2022,81.0112195121951,years,0,final
2023,81.2380975609756,years,0,final
2024,81.3868536585366,years,0,final
