period,value,unit,unit_multiplier,status
1997,3.54,ratio,0,final
1998,3.67,ratio,0,final
1999,3.96,ratio,0,final
2000,4.19,ratio,0,final
2001,4.5,ratio,0,final
2002,5.12,ratio,0,final
2003,5.93,ratio,0,final
2004,6.6,ratio,0,final
2005,6.79,ratio,0,final
2006,6.95,ratio,0,final
2007,7.15,ratio,0,final
2008,6.97,ratio,0,final
2009,6.4,ratio,0,final
2010,6.85,ratio,0,final
2011,6.8,ratio,0,final
2012,6.77,ratio,0,final
2013,6.76,ratio,0,final
2014,7.09,ratio,0,final
2015,7.54,ratio,0,final
2016,7.72,ratio,0,final
2017,7.91,ratio,0,final
2018,8.04,ratio,0,final
2019,7.88,ratio,0,final
2020,7.86,ratio,0,final
2021,9.06,ratio,0,final
2022,8.56,ratio,0,final
2023,8.45,ratio,0,final
2024,7.84,ratio,0,final
2025,7.63,ratio,0,final
