period,value,unit,unit_multiplier,status
1994,567.95,GBP,0,final
1995,580.11,GBP,0,final
1996,609,GBP,0,final
1997,646,GBP,0,final
1998,688,GBP,0,final
1999,747,GBP,0,final
2000,798,GBP,0,final
2001,847,GBP,0,final
2002,901.33,GBP,0,final
2003,975.56,GBP,0,final
2004,1101.75,GBP,0,final
2005,1166.56,GBP,0,final
2006,1213.81,GBP,0,final
2007,1267.91,GBP,0,final
2008,1321.32,GBP,0,final
2009,1373.08,GBP,0,final
2010,1413.84,GBP,0,final
2011,1439.22,GBP,0,final
2012,1439.33,GBP,0,final
2013,1444.13,GBP,0,final
2014,1455.6,GBP,0,final
2015,1467.98,GBP,0,final
2016,1483.58,GBP,0,final
2017,1529.56,GBP,0,final
2018,1590.55,GBP,0,final
2019,1671.46,GBP,0,final
2020,1749.88,GBP,0,final
2021,1817.67,GBP,0,final
2022,1898.48,GBP,0,final
2023,1965.71,GBP,0,final
2024,2065.05,GBP,0,final
2025,2170.99,GBP,0,final
2026,2280.21,GBP,0,final
2027,2391.52,GBP,0,final
