period,value,unit,unit_multiplier,status
2006,214940,number,0,final
2007,223530,number,0,final
2008,182770,number,0,final
2009,144870,number,0,final
2010,137390,number,0,final
2011,140790,number,0,final
2012,130610,number,0,final
2013,142490,number,0,final
2014,176580,number,0,final
2015,195530,number,0,final
2016,223230,number,0,final
2017,228170,number,0,final
2018,247770,number,0,final
2019,248590,number,0,final
2020,217750,number,0,final
2021,234460,number,0,final
2022,234290,number,0,final
2023,221410,number,0,final
2024,208600,number,0,final
