period,value,unit,unit_multiplier,status
2015-01,81.26,index,0,final
2015-02,81.41,index,0,final
2015-03,81.66,index,0,final
2015-04,81.99,index,0,final
2015-05,82.34,index,0,final
2015-06,82.5,index,0,final
2015-07,82.67,index,0,final
2015-08,82.99,index,0,final
2015-09,83.3,index,0,final
2015-10,83.42,index,0,final
2015-11,83.59,index,0,final
2015-12,83.78,index,0,final
2016-01,83.98,index,0,final
2016-02,84.13,index,0,final
2016-03,84.45,index,0,final
2016-04,84.67,index,0,final
2016-05,84.94,index,0,final
2016-06,85.18,index,0,final
2016-07,85.51,index,0,final
2016-08,85.75,index,0,final
2016-09,86,index,0,final
2016-10,86.2,index,0,final
2016-11,86.43,index,0,final
2016-12,86.62,index,0,final
2017-01,86.79,index,0,final
2017-02,86.86,index,0,final
2017-03,87.01,index,0,final
2017-04,87.2,index,0,final
2017-05,87.19,index,0,final
2017-06,87.37,index,0,final
2017-07,87.63,index,0,final
2017-08,87.67,index,0,final
2017-09,87.64,index,0,final
2017-10,87.76,index,0,final
2017-11,87.84,index,0,final
2017-12,87.91,index,0,final
2018-01,87.81,index,0,final
2018-02,87.98,index,0,final
2018-03,87.88,index,0,final
2018-04,87.88,index,0,final
2018-05,87.9,index,0,final
2018-06,87.96,index,0,final
2018-07,88.13,index,0,final
2018-08,88.3,index,0,final
2018-09,88.41,index,0,final
2018-10,88.61,index,0,final
2018-11,88.81,index,0,final
2018-12,88.98,index,0,final
2019-01,89.04,index,0,final
2019-02,89.22,index,0,final
2019-03,89.25,index,0,final
2019-04,89.3,index,0,final
2019-05,89.72,index,0,final
2019-06,89.73,index,0,final
2019-07,89.84,index,0,final
2019-08,90.04,index,0,final
2019-09,90.33,index,0,final
2019-10,90.52,index,0,final
2019-11,90.7,index,0,final
2019-12,90.85,index,0,final
2020-01,90.97,index,0,final
2020-02,91.14,index,0,final
2020-03,91.25,index,0,final
2020-04,91.2,index,0,final
2020-05,91.34,index,0,final
2020-06,91.37,index,0,final
2020-07,91.51,index,0,final
2020-08,91.58,index,0,final
2020-09,91.7,index,0,final
2020-10,91.84,index,0,final
2020-11,91.86,index,0,final
2020-12,91.9,index,0,final
2021-01,91.98,index,0,final
2021-02,92.13,index,0,final
2021-03,92.26,index,0,final
2021-04,92.23,index,0,final
2021-05,92.28,index,0,final
2021-06,92.48,index,0,final
2021-07,92.54,index,0,final
2021-08,92.79,index,0,final
2021-09,93.04,index,0,final
2021-10,93.38,index,0,final
2021-11,93.68,index,0,final
2021-12,94.16,index,0,final
2022-01,94.5,index,0,final
2022-02,94.89,index,0,final
2022-03,95.2,index,0,final
2022-04,95.59,index,0,final
2022-05,95.93,index,0,final
2022-06,96.29,index,0,final
2022-07,96.74,index,0,final
2022-08,97.23,index,0,final
2022-09,97.81,index,0,final
2022-10,98.22,index,0,final
2022-11,98.85,index,0,final
2022-12,99.42,index,0,final
2023-01,100,index,0,final
2023-02,100.56,index,0,final
2023-03,101.12,index,0,final
2023-04,101.93,index,0,final
2023-05,102.81,index,0,final
2023-06,103.6,index,0,final
2023-07,104.35,index,0,final
2023-08,105.07,index,0,final
2023-09,105.75,index,0,final
2023-10,106.48,index,0,final
2023-11,107.11,index,0,final
2023-12,107.76,index,0,final
2024-01,108.54,index,0,final
2024-02,109.52,index,0,final
2024-03,110.33,index,0,final
2024-04,111,index,0,final
2024-05,111.73,index,0,final
2024-06,112.47,index,0,final
2024-07,113.21,index,0,final
2024-08,113.85,index,0,final
2024-09,114.62,index,0,final
2024-10,115.62,index,0,final
2024-11,116.79,index,0,final
2024-12,117.43,index,0,final
2025-01,117.94,index,0,final
2025-02,118.4,index,0,final
