period,value,unit,unit_multiplier,status
1987,1289492,number,0,final
1988,1273453,number,0,final
1989,1251690,number,0,final
1990,1267221,number,0,final
1991,1292742,number,0,final
1992,1304759,number,0,final
1993,1214236,number,0,final
1994,1132337,number,0,final
1995,1087135,number,0,final
1996,1062179,number,0,final
1997,1021664,number,0,final
1998,1020229,number,0,final
1999,1036751,number,0,final
2000,1038720,number,0,final
2001,1039265,number,0,final
2002,1093342,number,0,final
2003,1269325,number,0,final
2004,1436933,number,0,final
2005,1539745,number,0,final
2006,1631235,number,0,final
2007,1671009,number,0,final
2008,1770629,number,0,final
2009,1764056,number,0,final
2010,1759439,number,0,final
2011,1837973,number,0,final
2012,1851884,number,0,final
2013,1687899,number,0,final
2014,1370410,number,0,final
2015,1256575,number,0,final
2016,1184750,number,0,final
2017,1158034,number,0,final
2018,1126173,number,0,final
2019,1160261,number,0,final
2020,1137234,number,0,final
2021,1185971,number,0,final
2022,1214724,number,0,final
2023,1287707,number,0,final
2024,1330602,number,0,final
2025,1340527,number,0,final
