period,value,unit,unit_multiplier,status
1998-03,47520,number,0,final
1998-06,49390,number,0,final
1998-09,52510,number,0,final
1998-12,53790,number,0,final
1999-03,56580,number,0,final
1999-06,58430,number,0,final
1999-09,61450,number,0,final
1999-12,62180,number,0,final
2000-03,65170,number,0,final
2000-06,67520,number,0,final
2000-09,71860,number,0,final
2000-12,73080,number,0,final
2001-03,75200,number,0,final
2001-06,75920,number,0,final
2001-09,77800,number,0,final
2001-12,77510,number,0,final
2002-03,80200,number,0,final
2002-06,81660,number,0,final
2002-09,85010,number,0,final
2002-12,85140,number,0,final
2003-03,89040,number,0,final
2003-06,91870,number,0,final
2003-09,94440,number,0,final
2003-12,94610,number,0,final
2004-03,97680,number,0,final
2004-06,99530,number,0,final
2004-09,101300,number,0,final
2004-12,101030,number,0,final
2005-03,101070,number,0,final
2005-06,100970,number,0,final
2005-09,101020,number,0,final
2005-12,98730,number,0,final
2006-03,96370,number,0,final
2006-06,93910,number,0,final
2006-09,93090,number,0,final
2006-12,89510,number,0,final
2007-03,87120,number,0,final
2007-06,84900,number,0,final
2007-09,82750,number,0,final
2007-12,79500,number,0,final
2008-03,77510,number,0,final
2008-06,74690,number,0,final
2008-09,72130,number,0,final
2008-12,67480,number,0,final
2009-03,64000,number,0,final
2009-06,60230,number,0,final
2009-09,56920,number,0,final
2009-12,53370,number,0,final
2010-03,51310,number,0,final
2010-06,50400,number,0,final
2010-09,49680,number,0,final
2010-12,48010,number,0,final
2011-03,48240,number,0,final
2011-06,48330,number,0,final
2011-09,49100,number,0,final
2011-12,48920,number,0,final
2012-03,50430,number,0,final
2012-06,51630,number,0,final
2012-09,52960,number,0,final
2012-12,53140,number,0,final
2013-03,55320,number,0,final
2013-06,55840,number,0,final
2013-09,57410,number,0,final
2013-12,56940,number,0,final
2014-03,58410,number,0,final
2014-06,59570,number,0,final
2014-09,60900,number,0,final
2014-12,61930,number,0,final
2015-03,64710,number,0,final
2015-06,66980,number,0,final
2015-09,68560,number,0,final
2015-12,69140,number,0,final
2016-03,71670,number,0,final
2016-06,73050,number,0,final
2016-09,74750,number,0,final
2016-12,75740,number,0,final
2017-03,77220,number,0,final
2017-06,78540,number,0,final
2017-09,79830,number,0,final
2017-12,79720,number,0,final
2018-03,80720,number,0,final
2018-06,82390,number,0,final
2018-09,83430,number,0,final
2018-12,83540,number,0,final
2019-03,85040,number,0,final
2019-06,86240,number,0,final
2019-09,87390,number,0,final
2019-12,88310,number,0,final
2020-03,92190,number,0,final
2020-06,98260,number,0,final
2020-09,94610,number,0,final
2020-12,95100,number,0,final
2021-03,95290,number,0,final
2021-06,95850,number,0,final
2021-09,95560,number,0,final
2021-12,96280,number,0,final
2022-03,95000,number,0,final
2022-06,95690,number,0,final
2022-09,98840,number,0,final
2022-12,100510,number,0,final
2023-03,104540,number,0,final
2023-06,105840,number,0,final
2023-09,108920,number,0,final
2023-12,112610,number,0,final
2024-03,117350,number,0,final
2024-06,123030,number,0,final
2024-09,125970,number,0,final
2024-12,127820,number,0,final
2025-03,130890,number,0,final
2025-06,132340,number,0,final
2025-09,134700,number,0,final
2025-12,134210,number,0,final
