period,value,unit,unit_multiplier,status
1960,7.09248637082215,percent,0,final
1961,6.92138752285922,percent,0,final
1962,6.94416604105903,percent,0,final
1963,6.80074341068238,percent,0,final
1964,6.59605601313516,percent,0,final
1965,6.43697857340144,percent,0,final
1966,6.24903679676674,percent,0,final
1967,6.2357037120617,percent,0,final
1968,5.9411052003122,percent,0,final
1969,5.5021956389853,percent,0,final
1970,5.19741323809566,percent,0,final
1971,5.07633062254603,percent,0,final
1972,5.1710477559332,percent,0,final
1973,4.90616105746511,percent,0,final
1974,5.06942711490535,percent,0,final
1975,5.33960343915615,percent,0,final
1976,5.17550333681554,percent,0,final
1977,4.92327762103886,percent,0,final
1978,4.73304308586993,percent,0,final
1979,4.67975756747534,percent,0,final
1980,5.01990345888742,percent,0,final
1981,4.98376336921746,percent,0,final
1982,5.38132652115477,percent,0,final
1983,5.39688559001511,percent,0,final
1984,5.50807949805952,percent,0,final
1985,5.32070461905547,percent,0,final
1986,5.05982373679728,percent,0,final
1987,4.68666844260533,percent,0,final
1988,4.21428762838849,percent,0,final
1989,4.04095433156431,percent,0,final
1990,3.983217694585,percent,0,final
1991,4.11680242273171,percent,0,final
1992,3.86471776641263,percent,0,final
1993,3.59064951247979,percent,0,final
1994,3.38193371776532,percent,0,final
1995,2.85419949053587,percent,0,final
1996,2.72459232198324,percent,0,final
1997,2.56014877225605,percent,0,final
1998,2.49596227501881,percent,0,final
1999,2.42290959332375,percent,0,final
2000,2.3727966452319,percent,0,final
2001,2.41112210130721,percent,0,final
2002,2.48565967470705,percent,0,final
2003,2.55206201518244,percent,0,final
2004,2.49782136751626,percent,0,final
2005,2.42271607573388,percent,0,final
2006,2.36967440284241,percent,0,final
2007,2.37465777127738,percent,0,final
2008,2.4871500848402,percent,0,final
2009,2.64772453259797,percent,0,final
2010,2.56799960467203,percent,0,final
2011,2.49903987829525,percent,0,final
2012,2.41781748358099,percent,0,final
2013,2.29232047399432,percent,0,final
2014,2.18448549185402,percent,0,final
2015,2.04890800410498,percent,0,final
2016,1.98449096820719,percent,0,final
2017,1.95002885979327,percent,0,final
2018,1.94455569473457,percent,0,final
2019,1.98525373099586,percent,0,final
2020,2.16304030547387,percent,0,final
2021,2.07241748249759,percent,0,final
2022,2.05691855462534,percent,0,final
2023,2.23063973904322,percent,0,final
2024,2.2786177901127,percent,0,final
