period,value,unit,unit_multiplier,status
2012-04,2.8,percent,0,final
2012-07,2.1,percent,0,final
2012-10,1.8,percent,0,final
2013-01,2.2,percent,0,final
2013-04,1.4,percent,0,final
2013-07,2.4,percent,0,final
2013-10,2.9,percent,0,final
2014-01,5,percent,0,final
2014-04,5.5,percent,0,final
2014-07,4.7,percent,0,final
2014-10,3.9,percent,0,final
2015-01,4,percent,0,final
2015-04,4.4,percent,0,final
2015-07,3.3,percent,0,final
2015-10,4.1,percent,0,final
2016-01,4,percent,0,final
2016-04,3.9,percent,0,final
2016-07,4.1,percent,0,final
2016-10,4.3,percent,0,final
2017-01,4.2,percent,0,final
2017-04,4.4,percent,0,final
2017-07,5,percent,0,final
2017-10,5.6,percent,0,final
2018-01,5.7,percent,0,final
2018-04,6,percent,0,final
2018-07,6.2,percent,0,final
2018-10,6.6,percent,0,final
2019-01,6.7,percent,0,final
2019-04,7,percent,0,final
2019-07,7.6,percent,0,final
2019-10,8.4,percent,0,final
2020-01,8.4,percent,0,final
2020-04,8.3,percent,0,final
2020-07,8.5,percent,0,final
2020-10,7.2,percent,0,final
2021-01,6.4,percent,0,final
2021-04,5.6,percent,0,final
2021-07,0,percent,0,final
2021-10,0,percent,0,final
2022-01,0,percent,0,final
2022-04,0,percent,0,final
2022-07,0,percent,0,final
2022-10,0,percent,0,final
2023-01,0,percent,0,final
2023-04,0,percent,0,final
2023-07,0,percent,0,final
2023-10,0,percent,0,final
2024-01,0,percent,0,final
2024-04,0,percent,0,final
2024-07,0,percent,0,final
2024-10,0,percent,0,final
2025-01,0,percent,0,final
2025-04,0,percent,0,final
2025-07,0,percent,0,final
2025-10,0,percent,0,final
2026-01,0,percent,0,final
