period,value,unit,unit_multiplier,status
1985,334000,number,0,final
1989,318000,number,0,final
1990,308000,number,0,final
1991,301000,number,0,final
1992,293000,number,0,final
1993,271000,number,0,final
1994,257000,number,0,final
1995,233000,number,0,final
1996,221000,number,0,final
1997,218000,number,0,final
1998,218000,number,0,final
1999,218000,number,0,final
2000,212500,number,0,final
2001,211400,number,0,final
2002,210400,number,0,final
2003,212600,number,0,final
2004,205000,number,0,final
2005,217000,number,0,final
2006,181000,number,0,final
2007,160000,number,0,final
2008,160000,number,0,final
2009,178470,number,0,final
2010,174020,number,0,final
2011,165650,number,0,final
2012,169150,number,0,final
2013,159150,number,0,final
2014,154700,number,0,final
2015,152350,number,0,final
2016,150250,number,0,final
2017,148000,number,0,final
2018,148450,number,0,final
2019,149000,number,0,final
2020,153000,number,0,final
