period,value,unit,unit_multiplier,status
2013-03,5.4,percent,0,final
2013-06,5.5,percent,0,final
2013-09,5.5,percent,0,final
2013-12,5.4,percent,0,final
2014-03,5.3,percent,0,final
2014-06,5.2,percent,0,final
2014-09,5.2,percent,0,final
2014-12,5.1,percent,0,final
2015-03,5.3,percent,0,final
2015-06,5.3,percent,0,final
2015-09,5.5,percent,0,final
2015-12,5.7,percent,0,final
2016-03,5.6,percent,0,final
2016-06,5.6,percent,0,final
2016-09,5.5,percent,0,final
2016-12,5.4,percent,0,final
2017-03,5.4,percent,0,final
2017-06,5.4,percent,0,final
2017-09,5.5,percent,0,final
2017-12,5.6,percent,0,final
2018-03,5.6,percent,0,final
2018-06,5.6,percent,0,final
2018-09,5.6,percent,0,final
2018-12,5.7,percent,0,final
2019-03,5.7,percent,0,final
2019-06,5.7,percent,0,final
2019-09,5.8,percent,0,final
2019-12,5.8,percent,0,final
2020-03,5.7,percent,0,final
2020-06,5.4,percent,0,final
2020-09,4.7,percent,0,final
2020-12,4.4,percent,0,final
2021-06,3.8,percent,0,final
2021-09,4.1,percent,0,final
2021-12,4.3,percent,0,final
2022-03,4.5,percent,0,final
2022-06,5.1,percent,0,final
2022-09,5.7,percent,0,final
2022-12,6,percent,0,final
2023-03,6.4,percent,0,final
2023-06,6.5,percent,0,final
2023-09,6.5,percent,0,final
2023-12,6.4,percent,0,final
2024-03,6.4,percent,0,final
2024-06,6.4,percent,0,final
2024-09,6.2,percent,0,final
2024-12,6,percent,0,final
2025-03,5.9,percent,0,final
2025-06,5.6,percent,0,final
2025-09,5.4,percent,0,final
2025-12,5.2,percent,0,final
