period,value,unit,unit_multiplier,status
2010-12,64,days,0,final
2011-03,69,days,0,final
2011-06,64,days,0,final
2011-09,64,days,0,final
2011-12,65,days,0,final
2012-03,69,days,0,final
2012-06,64,days,0,final
2012-09,66,days,0,final
2012-12,73,days,0,final
2013-03,75,days,0,final
2013-09,64,days,0,final
2013-12,71,days,0,final
2014-03,81,days,0,final
2014-06,77,days,0,final
2014-09,82,days,0,final
2014-12,88,days,0,final
2015-03,89,days,0,final
2015-09,88,days,0,final
2015-12,87,days,0,final
2016-03,94,days,0,final
2016-06,93,days,0,final
2016-09,91,days,0,final
2016-12,102,days,0,final
2017-03,105,days,0,final
2017-09,95,days,0,final
2017-12,104,days,0,final
2018-03,114,days,0,final
2018-06,112,days,0,final
2018-09,106,days,0,final
2018-12,103,days,0,final
2019-03,112,days,0,final
2019-06,111,days,0,final
2019-09,114,days,0,final
2019-12,119,days,0,final
2020-12,119,days,0,final
2021-12,128,days,0,final
2022-12,124,days,0,final
2023-12,128,days,0,final
2024-12,139,days,0,final
2025-12,138,days,0,final
2026-12,142,days,0,final
