period,value,unit,unit_multiplier,status
2016-03,48255,number,0,final
2016-06,44858,number,0,final
2016-09,43461,number,0,final
2016-12,43110,number,0,final
2017-03,41706,number,0,final
2017-06,41105,number,0,final
2017-09,40200,number,0,final
2017-12,38980,number,0,final
2018-03,36840,number,0,final
2018-06,35633,number,0,final
2018-09,34637,number,0,final
2018-12,33049,number,0,final
2019-03,33118,number,0,final
2019-06,34232,number,0,final
2019-09,35430,number,0,final
2019-12,38123,number,0,final
2020-03,40968,number,0,final
2020-06,43154,number,0,final
2020-09,51315,number,0,final
2020-12,57058,number,0,final
2021-03,59827,number,0,final
2021-06,60858,number,0,final
2021-09,59936,number,0,final
2021-12,58617,number,0,final
2022-03,58136,number,0,final
2022-06,59445,number,0,final
2022-09,63031,number,0,final
2022-12,62689,number,0,final
2023-03,62011,number,0,final
2023-06,64602,number,0,final
2023-09,66316,number,0,final
2023-12,67116,number,0,final
2024-03,68821,number,0,final
2024-06,70705,number,0,final
2024-09,72675,number,0,final
2024-12,74016,number,0,final
2025-03,76357,number,0,final
2025-06,77816,number,0,final
2025-09,79306,number,0,final
2025-12,80098,number,0,final
2026-03,80061,number,0,final
