period,value,unit,unit_multiplier,status
2024-10,58.9,percent,0,final
2024-11,59.2,percent,0,final
2024-12,58.9,percent,0,final
2025-01,58.9,percent,0,final
2025-02,59.2,percent,0,final
2025-03,59.8,percent,0,final
2025-04,59.7,percent,0,final
2025-05,60.9,percent,0,final
2025-06,61.5,percent,0,final
2025-07,61.2,percent,0,final
2025-08,61,percent,0,final
2025-09,61.7,percent,0,final
2025-10,61.7,percent,0,final
2025-11,61.6,percent,0,final
2025-12,61.5,percent,0,final
2026-01,61.4,percent,0,final
2026-02,62.5,percent,0,final
2026-03,65.3,percent,0,provisional
