period,value,unit,unit_multiplier,status
2001-05,2.7,percent,0,final
2001-06,2.8,percent,0,final
2001-07,2.8,percent,0,final
2001-08,2.9,percent,0,final
2001-09,2.8,percent,0,final
2001-10,2.7,percent,0,final
2001-11,2.7,percent,0,final
2001-12,2.7,percent,0,final
2002-01,2.9,percent,0,final
2002-02,2.8,percent,0,final
2002-03,2.8,percent,0,final
2002-04,2.8,percent,0,final
2002-05,2.8,percent,0,final
2002-06,2.8,percent,0,final
2002-07,2.7,percent,0,final
2002-08,2.7,percent,0,final
2002-09,2.7,percent,0,final
2002-10,2.8,percent,0,final
2002-11,2.8,percent,0,final
2002-12,2.7,percent,0,final
2003-01,2.6,percent,0,final
2003-02,2.5,percent,0,final
2003-03,2.5,percent,0,final
2003-04,2.5,percent,0,final
2003-05,2.5,percent,0,final
2003-06,2.4,percent,0,final
2003-07,2.4,percent,0,final
2003-08,2.5,percent,0,final
2003-09,2.5,percent,0,final
2003-10,2.6,percent,0,final
2003-11,2.5,percent,0,final
2003-12,2.4,percent,0,final
2004-01,2.4,percent,0,final
2004-02,2.4,percent,0,final
2004-03,2.5,percent,0,final
2004-04,2.4,percent,0,final
2004-05,2.5,percent,0,final
2004-06,2.5,percent,0,final
2004-07,2.5,percent,0,final
2004-08,2.5,percent,0,final
2004-09,2.5,percent,0,final
2004-10,2.4,percent,0,final
2004-11,2.4,percent,0,final
2004-12,2.4,percent,0,final
2005-01,2.3,percent,0,final
2005-02,2.4,percent,0,final
2005-03,2.3,percent,0,final
2005-04,2.4,percent,0,final
2005-05,2.5,percent,0,final
2005-06,2.4,percent,0,final
2005-07,2.4,percent,0,final
2005-08,2.4,percent,0,final
2005-09,2.2,percent,0,final
2005-10,2.1,percent,0,final
2005-11,2.1,percent,0,final
2005-12,2.1,percent,0,final
2006-01,1.9,percent,0,final
2006-02,1.9,percent,0,final
2006-03,1.9,percent,0,final
2006-04,1.8,percent,0,final
2006-05,1.8,percent,0,final
2006-06,1.8,percent,0,final
2006-07,1.8,percent,0,final
2006-08,1.8,percent,0,final
2006-09,1.7,percent,0,final
2006-10,1.8,percent,0,final
2006-11,1.8,percent,0,final
2006-12,1.9,percent,0,final
2007-01,1.9,percent,0,final
2007-02,1.9,percent,0,final
2007-03,1.9,percent,0,final
2007-04,1.9,percent,0,final
2007-05,1.9,percent,0,final
2007-06,2,percent,0,final
2007-07,2,percent,0,final
2007-08,2,percent,0,final
2007-09,2.1,percent,0,final
2007-10,2.2,percent,0,final
2007-11,2.2,percent,0,final
2007-12,2.1,percent,0,final
2008-01,2.1,percent,0,final
2008-02,2.1,percent,0,final
2008-03,2.1,percent,0,final
2008-04,2.1,percent,0,final
2008-05,2.1,percent,0,final
2008-06,2.1,percent,0,final
2008-07,2.1,percent,0,final
2008-08,2.1,percent,0,final
2008-09,2.1,percent,0,final
2008-10,2,percent,0,final
2008-11,2,percent,0,final
2008-12,2,percent,0,final
2009-01,1.9,percent,0,final
