period,value,unit,unit_multiplier,status
2024-10,7.541371,persons,6,final
2024-11,7.479867,persons,6,final
2024-12,7.4630849999999995,persons,6,final
2025-01,7.427669,persons,6,final
2025-02,7.401153,persons,6,final
2025-03,7.418597999999999,persons,6,final
2025-04,7.3890649999999996,persons,6,final
2025-05,7.35595,persons,6,final
2025-06,7.367836,persons,6,final
2025-07,7.299023,persons,6,final
2025-08,7.312355999999999,persons,6,final
2025-09,7.296893,persons,6,final
2025-10,7.304189,persons,6,final
2025-11,7.159009999999999,persons,6,final
2025-12,7.199624,persons,6,final
2026-01,7.155958,persons,6,final
2026-02,7.1249519999999995,persons,6,final
2026-03,7.014879,persons,6,provisional
